number,title,body
966,[Question] queryDataframe function in python kernel failed to connect to localhost:9000,"Hi guys! I'm trying to use the Jupyter of Python Kernel. When I try to execute queryDataframe function in handbook_py.ipynb as shown below, I get a error say `Failed to connect to localhost:9000`. Could you please help me!

![image]()
"
968,[Docs] Add docs for Python kernel,We need to add docs for Python kernel and also push Python kernel docker image for developers to use.
971,[WeeklyReport] Weekly report for open-digger 2022-9-12 to 2022-9-19,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 16 | 201 (↑1) | 46 (-) | 24 (↑1) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 3 | 4 | 5 | 5 |

## PR Overview

Thanks to contributions from community, **5** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 3 | #965 data: add x-lab members <br>#967 [metrics] modify index interface of python kernel <br>#969 [Data] add x-lab member <br> |
| @longranger2 | 1 | #970 【Hackathon No.88】：Paddle 社区开发者行为可视化 <br> |
| @open-digger-bot | 1 | #964 [Docs] Update report auto-update-contributors-1662955203941 <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|
| @frank-zsy | 1 |


## Contributors Overview

It is open-digger team's great honor to have new contributors from community. We really appreciate your contributions. Feel free to tell us if you have any opinion and please share this open source project with more people if you could. If you hope to be a contributor as well, please start from  .
Here is the list of new contributors:

@longranger2


Thanks to you all.
"
975,[WeeklyReport] Weekly report for open-digger 2022-9-19 to 2022-9-26,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 17 | 204 (↑3) | 48 (↑2) | 24 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 1 | 1 | 3 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
977,"OpenDigger Biweekly Meetings, 2022-2023 Autumn Term","## <p align=""center"">🍁 OpenDigger Biweekly Meetings, 2022-2023 Autumn Term</p >

- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：755-1645-1474（[link]()）



****


| Week📆| Date🕣| Host💂‍♂️ | Core Content🔑 | Discussion🔗  | Video🎥 |
| :------: | :-----: | :------: | :--------------: | :------------: | :-------: |
|  01   | 09-28 |  @xgdyp  |    Introduction to OpenDigger    | |    |
|  03   | 10-12 |  @xgdyp  |    python_kernel demo & desgin of questionnaire    | |    |
|  03   | 10-26 |   @xgdyp  |    tutorial on sample data    | |    |"
978,OpenDigger Biweekly Meeting: 2022-09-28,"# Meeting

- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：755-1645-1474（[link]()）

# Agenda

1. Introduction to OpenDigger for newcomers (15 min) @frank-zsy 
2. Framework and Progress of China Open Source Report 2022  (10 min) @xgdyp 
3. Design of China Open Source Developer Questionnaire(5 min) @xgdyp 
4. Q&A (5 min)"
979,[Proposal] data_description.csv should be updated,"Hi, guys! [data_description]() should be updated. In our newest github_log.events table, there are `132` field name, but in old `data_description.csv`, there are `142` field name.



"
981,OpenDigger Biweekly Meeting: 2022-10-12,"# Meeting

- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：755-1645-1474（[link]()）

# Agenda

1. Python Kernel Demo (10min)
2. Design of China Open Source Developer Questionnaire(20 min) @xgdyp 
3. Q&A (5 min)"
984,[WeeklyReport] Weekly report for open-digger 2022-9-26 to 2022-10-3,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 16 | 208 (↑4) | 49 (↑1) | 26 (↑2) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 5 | 2 | 4 | 6 |

## PR Overview

Thanks to contributions from community, **6** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @xgdyp | 2 | #982 fix: update data_description.csv <br>#983 docs: update community_meeting_records.yaml <br> |
| @bytemain | 1 | #980 feat: update antgroup data <br> |
| @open-digger-bot | 1 | #976 [Docs] Update report auto-update-contributors-1664164803815 <br> |
| @longranger2 | 1 | #974 【Hackathon No.87】 Paddle 社区数据分析 <br> |
| @zhicheng-ning | 1 | #973 [Hackathon No.89] 开源社区对比研究 <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|
| @frank-zsy | 2 |
| @bytemain | 1 |


## Contributors Overview

It is open-digger team's great honor to have new contributors from community. We really appreciate your contributions. Feel free to tell us if you have any opinion and please share this open source project with more people if you could. If you hope to be a contributor as well, please start from  .
Here is the list of new contributors:

@zhicheng-ning

@bytemain


Thanks to you all.
"
986,[Proposal]Update a OpenDigger Dashboard,
990,[WeeklyReport] Weekly report for open-digger 2022-10-3 to 2022-10-10,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 16 | 209 (↑1) | 49 (-) | 26 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 2 | 1 | 4 | 4 |

## PR Overview

Thanks to contributions from community, **4** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 3 | #987 data: Add new member and org to x-lab <br>#988 notebook: update x-lab <br>#989 notebook: update x-lab <br> |
| @open-digger-bot | 1 | #985 [Docs] Update report auto-update-contributors-1664769605937 <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
992,[Docs] some problems in sample_data/README.md,"![image]()
In this document, I think we should use full container name like`docker-hub.x-lab.info/opendigger/open-digger-clickhouse-base:v1` instead of `open-digger-clickhouse-base:v1` to run command

"
995,We need a issue template to support sample data request,"In OpenDigger, everyone who want to get their customized data can create a issue so we can help them export sample data from clickhouse server.But now, we don't have a issue endpoint to help user handle their data requirements. So, we should update our Issue template (add a data requirements template).
A template of  template like 
![image]()
![image]()
"
996,OpenDigger Biweekly Meeting: 2022-10-26,"# Meeting

- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：755-1645-1474（[link]()）

# Agenda

1. Community overview @xgdyp 
2. Display how to package customized data (15min)@zhicheng-ning 
3. Design of China Open Source Developer Questionnaire(15 min) @xgdyp 
4. An introduction to our new milestone @xgdyp 
5. Q&A (5 min)"
999,[CI] auto add issues comment reply status,"Open-digger may also need to have this workflow according to what @xgdyp  said. 
The workflow reference to 
"
1002,How often does Open-digger compute and update?,"Hi, we want to analyze some new metrics, such as the number of downloads of a release. This metric is time-sensitive, so we want to know how often Open-digger calculates and updates? Thanks."
1003,[WeeklyReport] Weekly report for open-digger 2022-10-10 to 2022-10-17,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 16 | 212 (↑4) | 52 (↑3) | 26 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 6 | 6 | 7 | 6 |

## PR Overview

Thanks to contributions from community, **6** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @yoyo-wu98 | 2 | #993 fix: Update README.md to fix a bug about the docker image name <br>#994 Correct the command in start_server.sh with the same reason of #993. <br> |
| @LinuxSuRen | 1 | #1001 Submit a new company GitHub org <br> |
| @zhicheng-ning | 1 | #1000 ci: auto mark issue reply status <br> |
| @open-digger-bot | 1 | #991 [Docs] Update report auto-update-contributors-1665374404992 <br> |
| @frank-zsy | 1 | #997 Add new committer <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|
| @zhicheng-ning | 3 |
| @frank-zsy | 1 |
| @xgdyp | 1 |


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1005,[Events] OpenDigger community successfully joined Chinese Open Source Map,"
![image]()


For more information, click [this link]() to view."
1006,Calculation method of project activity,"Regarding the open source community activity calculation method, should we consider the weight of the metric in the calculation formula? Can we change the length of time needed to complete the metric into the weight, and then add it to the activity calculation formula? If we define open source community activity as the total amount of time investment that an open source community attracts from around the world, divided by unit time. Let's say it takes a user 1 second to click on a star. fork a warehouse, about 2 to 3 seconds. It takes about 5 minutes to submit an issue. The time to resolve an issue can take hours, along with other metrics such as PR. From this point of view, the weight of star is at the level of seconds, while the weight of issue, PR should be at the level of minutes or even hours. Is this a reasonable calculation that we can consider?"
1007,Request to add a topic 'hacktoberfest' on this repo,"See also

![image]()

![image]()
"
1008,[Discussions] How to separate python kernel and nodejs kernel,"Hi All, as @frank-zsy said in #968, we need to separate two kernel so developers can focus on one. But now I don't have ideas on how to organize code. One possible method is to create folders like `src/node/` and src/python/`. Is there any other possible methods？"
1010,[Docs] a broken link in docs/README.md,"<img width=""1290"" alt=""image"" src="""">
"
1011,[WeeklyReport] Weekly report for open-digger 2022-10-17 to 2022-10-24,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 17 | 213 (↑1) | 54 (↑3) | 26 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 6 | 4 | 2 | 3 |

## PR Overview

Thanks to contributions from community, **3** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @yoyo-wu98 | 1 | #998 [Doc] Add python kernel sample data guide. <br> |
| @zhicheng-ning | 1 | #1009 docs: improve hackathon_No89, delete pdf file <br> |
| @open-digger-bot | 1 | #1004 [Docs] Update report auto-update-contributors-1665979202919 <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1014,【FEATURE】Does opendigger collect the package data from libraries.io?,"I have noticed that **Libraries.io Open Data** is quite high-quality data, which can support our 3 network data, although the archive data is only before 2020.
They track over 2.7m unique open source packages, 33m repositories and 235m interdependencies between them. 
<img width=""800"" alt=""image"" src="""">
"
1015,We need to update a  python kernel container to our dockerhub,
1016,How roughly is contribution calculated,The developer contribution to the warehouse can be seen in the active warehouse network diagram. How is the developer contribution to the project roughly calculated?
1017,[label] submit Chinese developr labeled data,"I want to add some Chinese developer labeled data into OpenDigger to help us for our community analysis.

Label: China

Type: Region

Users:

- zhicheng-ning
- xgdyp

<!-- Put user login with a ""- "" to submit the info, like:

- wu-sheng
- WillemJiang

-->
"
1018,[WeeklyReport] Weekly report for open-digger 2022-10-24 to 2022-10-31,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 19 | 215 (↑3) | 56 (↑2) | 27 (↑1) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 4 | 3 | 2 | 2 |

## PR Overview

Thanks to contributions from community, **2** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @Zzzzzhuzhiwei | 1 | #1013 docs: fix a broken link in docs/README.md <br> |
| @open-digger-bot | 1 | #1012 [Docs] Update report auto-update-contributors-1666584004477 <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## Contributors Overview

It is open-digger team's great honor to have new contributors from community. We really appreciate your contributions. Feel free to tell us if you have any opinion and please share this open source project with more people if you could. If you hope to be a contributor as well, please start from  .
Here is the list of new contributors:

@Zzzzzhuzhiwei


Thanks to you all.
"
1020,[CI/CD] Optimize the ci/cd process,"In #1007, we find that we should filter opendigger-bot's comment to make our label correct
![image]()

This can be fixed by editing  `github/workflows/reply-label-issue-comment.yml` , adding a conditional clause to filter bot's comment.

![image]()
"
1023,[proposal] count frequently analyzed column name,"can we show some important column name like `repo_id`,`org_id`,`type`,`created_at`, since not all columns are frequently analyzed. "
1025,rename events folder to cooperation,
1026,[bug] questions in Mertic:issue duration resolution,"Hi @frank-zsy ,when I read `duration resolution ` metric in `handbook.ipynb`, I found this metric return a value about 4700 days. I think this maybe wrong
![image]()

So I find some issues in our clickhouse and there `issue open` event missed. I think this caused the wrong result.
![image]()
()
and in this clause, `open_at` field return 1970-1-1 .
![image]()

"
1027,jianmu-ci-server name need to update,"<!-- Please help us help you by filling out the following sections as thoroughly as you can. If you have additional information, you can adjust the issue structure yourself -->

Jianmu project is update name from jianmu-ci-server to jianmu. Mulan Community lebel date need to update.

url: 

<!-- What do you want to label the following data, like 'Apache Software Foundation', 'Linux Foundation', 'Chinese', 'Microsoft'... -->
Label: jianmu

<!-- 'Region', 'Company', 'Community', 'Project', 'Foundation' -->
Type: Community

<!-- For example, 'microsoft/vscode'. If you fill them in, it means that you think the data has the label you filled above. 
Make sure every data line starts with '- ' like:

Repos:
- microsoft/vscode
- kubernetes/kubernetes

-->
Repos:
- jianmu-dev/jianmu

-

<!-- You can fill in the name of the organization or individual user. 

Make sure every data line starts with '- ' like:

Orgs/Users:
- microsoft
- google
- X-lab2017

-->
Orgs/Users:

-

<!-- :) Thank you for reading here! -->
"
1030,[Doc] We should add a user section in README,"Right now, there are lots of users in OpenDigger. Like OpenLeaderboard, Hypercrx, [Mulan dashboard]() and [Apache project insight](#/).

I think we should add a static data section and a user section in README and invite more developers to use OpenDigger data to implement their own open source applications."
1031,[WeeklyReport] Weekly report for open-digger 2022-10-31 to 2022-11-7,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 19 | 217 (↑2) | 57 (↑1) | 28 (↑1) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 6 | 6 | 5 | 4 |

## PR Overview

Thanks to contributions from community, **4** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @xgdyp | 2 | #1022 update chinese developer label and add issue replier message <br>#1024 fix: rename events folder to cooperations <br> |
| @lhbvvvvv | 1 | #1021 Filter opendigger-bot's comment <br> |
| @open-digger-bot | 1 | #1019 [Docs] Update report auto-update-contributors-1667188803688 <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## Contributors Overview

It is open-digger team's great honor to have new contributors from community. We really appreciate your contributions. Feel free to tell us if you have any opinion and please share this open source project with more people if you could. If you hope to be a contributor as well, please start from  .
Here is the list of new contributors:

@lhbvvvvv


Thanks to you all.
"
1033,[Feature] New data export method,"As mentioned in #1030 , I would like to make a new data export method to export GitHub repo and user data to OSS, so developers can use the data to implement their own applications.

The plan is:
- Consider the huge amount of repos and users on GitHub, we will only export part of the repos and users which are relatively active. The process is:
  - We will export all the data for the repos which have at least 3 developers participated in any month, the amount will be about 2 million right now.
  - Then we will export all the data for the users who were active on above repos and have at least 20 issue/pull related events in all history, also about 2 million right now.
- For all the repos and users, we will export all the metrics implemented in OpenDigger right now with monthly aggregation, users can get quarterly or yearly data by simple calculation.
- Further metrics implemented will be added to export data after the metrics implementation.
- All the metrics will be stored separately into different files, like `activity.json`, `openrank.json`, `issue_resolution_duration.json`, `bus_factor.json` and etc. So developers can easily choose what data they can use."
1034,OpenDigger Biweekly Meeting: 2022-11-09,"# Meeting

- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：755-1645-1474（[link]()）

# Agenda

1. new python kernel path@xgdyp
2. China Open Source Developer Questionnaire Analysis @xgdyp 
4. An introduction to Open Source Report Data Section Outline @xgdyp 
5. Q&A (5 min)"
1039,[Question] issue comment event don't trigger issue_update_at field,"When we implement `active issue` metric, we want to use `issue_created_at !=issue_updated_at` to check if this issue is active
But there has some problems. 
A example : 
<img width=""1036"" alt=""image"" src="""">

We can see there has a comment event.  but in our db, we use this query:


and it return a result as this:
![image]()

`issue_created_at` equals to `issue_updated_at`
This may be wrong because when we check other issue comment events, they all update `issue_updated_at ` field.

so I use the following querys to see what's the ratio of this bug:

![image]()

and 

![image]()

About  0.05% of data wrong so it seems affect little.
"
1040,[Feature] Handle data lose,"As GHArchive was offline in 2021.10 for about half a month, the statistical data in 2021.10 are all about 50% of 2021.9 and 2021.11.

So when we upload data to OSS, we can do a little trick to fix the problem. I think we can use like `0.15 * Value_20218 + 0.35 * Value_20219 + 0.35 * Value_202211 + 0.15 * Value_202212` to estimate the actually value of 2021.10, and still we should keep a field `202110_original` to store the real value."
1041,How is the closeness between items defined in the network diagram?,How is the closeness between items defined in the network diagram?
1043,How to identify where a IssueCommentEvent log came from,"In our dataset, IssueCommentEvent logs  can present a PR comment or a Issue comment. How to identify them quickly?"
1044,[WeeklyReport] Weekly report for open-digger 2022-11-7 to 2022-11-14,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 19 | 219 (↑1) | 58 (↑2) | 29 (↑1) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 7 | 4 | 5 | 5 |

## PR Overview

Thanks to contributions from community, **5** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 2 | #1028 data: change jianmu name <br>#1029 data: x-lab data for 202210 <br> |
| @2ek0bin | 1 | #1042 开源大数据热力报告2022 <br> |
| @longyanz | 1 | #1037 metric:code change lines <br> |
| @open-digger-bot | 1 | #1032 [Docs] Update report auto-update-contributors-1667793604663 <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|
| @frank-zsy | 3 |


## Contributors Overview

It is open-digger team's great honor to have new contributors from community. We really appreciate your contributions. Feel free to tell us if you have any opinion and please share this open source project with more people if you could. If you hope to be a contributor as well, please start from  .
Here is the list of new contributors:

@2ek0bin


Thanks to you all.
"
1046,[Bug] Precision config does not take effect right now. ,"Right now, for metrics which return float value, precision config does not take effect, like `activity`, `openrank`, `resolution_duration` and etc."
1047,[Feature] Add more label data for certain technical area.,"Right now, the label data is only about company and area, but we need to add more label data for certain technical area.

The most important areas may include:

- [x] Cloud native #1054 
- [x] Big data #1052 
- [x] AI #1196 
- [x] Database #1056 
- [x] Operating System #1058 
- [x] Frontend #1198 
- [x] Block chain #1210 
- [x] IoT #1213 "
1048,"[Bug] Repo name, org name and user name option in metric query cause error.","Right now, in all metrics implementations, we use `repo_id`, `org_id` and `actor_id` as group columns rather than the names.

So we can not directly use names in where clause which will cause a SQL error, so we need to convert names to ids before the actual query."
1050,[Data] Add first batch of big data repos.,"Related to #1047 

I want to add some labeled data into OpenDigger to help us for our community analysis.

These repos are used to generate the big data report: 

Label: Big Data

Type: Tech-0

Here I use `Tech-0` which means a top level technical area label, under big data, we may have several `Tech-1` level labels like `streaming` or `visualization`.

Repos:

- d3/d3
- apache/echarts
- grafana/grafana
- apache/superset
- apache/spark
- metabase/metabase
- apache/airflow
- ClickHouse/ClickHouse
- apache/kafka
- getredash/redash
- apache/flink
- apache/shardingsphere
- matplotlib/matplotlib
- airbnb/visx
- plotly/plotly.js
- prestodb/presto
- timescale/timescaledb
- cube-js/cube.js
- apache/hadoop
- apache/druid
- alibaba/DataX
- apache/pulsar
- apache/zookeeper
- antvis/G2
- apache/arrow
- jupyter/notebook
- PrefectHQ/prefect
- apache/dolphinscheduler
- mwaskom/seaborn
- apache/cassandra
- c3js/c3
- keplergl/kepler.gl
- debezium/debezium
- airbytehq/airbyte
- apache/zeppelin
- dataease/dataease
- apache/beam
- juicedata/juicefs
- datahub-project/datahub
- trinodb/trino
- opensearch-project/OpenSearch
- duckdb/duckdb
- apache/doris
- alibaba/BizCharts
- apache/storm
- dbt-labs/dbt-core
- dagster-io/dagster
- apache/hbase
- apache/camel
- apache/hive
- apache/lucene-solr
- apache/pinot
- nhn/tui.chart
- microsoft/SandDance
- apache/incubator-heron
- apache/incubator-seatunnel
- apache/hudi
- apache/kylin
- pachyderm/pachyderm
- apache/calcite
- apache/nifi
- apache/iceberg
- edp963/davinci
- ververica/flink-cdc-connectors
- apache/couchdb
- Alluxio/alluxio
- apache/incubator-linkis
- StarRocks/starrocks
- kestra-io/kestra
- uber/aresdb
- apache/avro
- apache/iotdb
- apache/incubator-hugegraph
- delta-io/delta
- hazelcast/hazelcast
- TalkingData/inmap
- greenplum-db/gpdb
- apache/drill
- apache/ambari
- apache/incubator-devlake
- apache/parquet-mr
- apache/incubator-kvrocks
- apache/bookkeeper
- apache/kudu
- apache/incubator-pegasus
- shzlw/poli
- apache/arrow-datafusion
- apache/carbondata
- apache/atlas
- apache/incubator-kyuubi
- crate/crate
- apache/parquet-format
- apache/lucene
- apache/phoenix
- apache/sqoop
- apache/inlong
- apache/impala
- eventql/eventql
- apache/samza
- apache/hawq
- apache/pig
- apache/oozie
- apache/ranger
- biolab/orange3
- keen/explorer
- apache/ozone
- apache/solr
- apache/flume
- apache/bigtop
- apache/tez
- PatMartin/Dex
- apache/hadoop-hdfs
- apache/knox
- elastic/elasticsearch
- elastic/kibana
- apache/incubator-streampark

"
